127.0.0.1 - - [01/Aug/2018:15:13:12 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Aug/2018:15:13:14 +0900] "GET /project/main/main.jsp HTTP/1.1" 200 5682
0:0:0:0:0:0:0:1 - - [01/Aug/2018:15:13:14 +0900] "GET /project/js/httpRequest.js HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [01/Aug/2018:15:13:14 +0900] "GET /project/image/do2.jpg HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [01/Aug/2018:15:13:14 +0900] "GET /project/Foodie/mackerel.jpg HTTP/1.1" 200 136472
0:0:0:0:0:0:0:1 - - [01/Aug/2018:15:13:14 +0900] "GET /project/Foodie/cheese_chicken.jpg HTTP/1.1" 200 153621
0:0:0:0:0:0:0:1 - - [01/Aug/2018:15:13:14 +0900] "GET /project/Foodie/beannoodle.jpg HTTP/1.1" 200 93007
0:0:0:0:0:0:0:1 - - [01/Aug/2018:15:13:14 +0900] "GET /project/Foodie/abalone.jpg HTTP/1.1" 200 136150
0:0:0:0:0:0:0:1 - - [01/Aug/2018:15:13:14 +0900] "GET /project/Foodie/fruitcandy.jpg HTTP/1.1" 200 77466
0:0:0:0:0:0:0:1 - - [01/Aug/2018:15:13:14 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Aug/2018:15:13:17 +0900] "GET /project/main/mainDetail.jsp?fno=4 HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [01/Aug/2018:15:13:17 +0900] "GET /project/Foodie/beannoodleM.png HTTP/1.1" 200 6566777
0:0:0:0:0:0:0:1 - - [01/Aug/2018:15:52:49 +0900] "GET /project/main/mainDetail.jsp?fno=4 HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [01/Aug/2018:15:52:49 +0900] "GET /project/Foodie/beannoodleM.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2018:15:52:49 +0900] "GET /project/Foodie/beannoodle.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2018:16:36:46 +0900] "GET /project/main/mainDetail.jsp?fno=4 HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [01/Aug/2018:16:36:46 +0900] "GET /project/Foodie/beannoodle.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2018:16:36:46 +0900] "GET /project/Foodie/beannoodleM.png HTTP/1.1" 304 -
